"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      ,       "CFx"      ,       "CFy"      ,     "Buffet"     ,   "Cauchy[CD]"   
           0,         0.1232855,      -1.868065669,      0.5806952384,     0.04795687092,      0.0336149881,      0.5806952384,     0.04795687092,    0.002220996607,                 1
           1,         0.1256865,      -2.043074925,      0.5135259637,     0.07957693799,     0.05966468253,      0.5135259637,     0.07957693799,    0.002220996607,    0.001308001532
           2,      0.1261911333,      -2.103817178,       0.517656041,      0.1015860147,     0.07419576741,       0.517656041,      0.1015860147,    0.002220996607,    0.001387785731
           3,         0.1243122,      -2.241952935,       0.489877012,      0.0967672227,     0.06617374554,       0.489877012,      0.0967672227,    0.002220996607,    0.001954847019
           4,        0.12353194,      -2.287240697,      0.4427850682,     0.08904195766,     0.05920747552,      0.4427850682,     0.08904195766,    0.002220996607,    0.003018386582
           5,      0.1229599333,      -2.299394254,       0.400096005,      0.0837224848,      0.0563862394,       0.400096005,      0.0837224848,    0.002220996607,    0.004085357078
           6,      0.1228266571,      -2.341840444,      0.3700002404,     0.08118003977,     0.05575644909,      0.3700002404,     0.08118003977,    0.002220996607,     0.00489875559
           7,        0.12241535,       -2.39648234,      0.3471466152,     0.07997752362,     0.05582846571,      0.3471466152,     0.07997752362,    0.002220996607,    0.005557083345
           8,      0.1223215667,      -2.456176488,      0.3280599346,     0.07917816158,     0.05601399501,      0.3280599346,     0.07917816158,    0.002220996607,    0.006138888028
           9,         0.1226877,      -2.512343925,      0.3118858427,     0.07849756174,     0.05620071383,      0.3118858427,     0.07849756174,    0.002220996607,    0.006657478156
          10,         0.1228733,      -2.558413111,      0.2983086805,     0.07787439208,     0.05638067847,      0.2983086805,     0.07787439208,    0.002220996607,    0.007112616176
          11,      0.1233844083,       -2.59261989,      0.2868701578,     0.07727047105,     0.05654470591,      0.2868701578,     0.07727047105,    0.002220996607,    0.007511351366
          12,      0.1233769154,      -2.617989553,      0.2770755765,     0.07667660585,     0.05667703881,      0.2770755765,     0.07667660585,    0.002220996607,     0.00786484991
          13,          0.123248,      -2.637719668,      0.2685190335,     0.07612132284,     0.05676481088,      0.2685190335,     0.07612132284,    0.002220996607,    0.008183506765
          14,      0.1231265667,      -2.653450827,      0.2608954699,     0.07564272281,     0.05680220844,      0.2608954699,     0.07564272281,    0.002220996607,    0.008475714352
          15,       0.123124325,      -2.665054152,      0.2539787549,     0.07526550554,     0.05679036681,      0.2539787549,     0.07526550554,    0.002220996607,    0.008748048743
          16,      0.1233843294,      -2.671841176,        0.24759227,     0.07500195636,     0.05673610833,        0.24759227,     0.07500195636,    0.002220996607,    0.009005992376
          17,        0.12334475,      -2.671649122,      0.2415866028,     0.07486154524,     0.05665065677,      0.2415866028,     0.07486154524,    0.002220996607,    0.009254585098
          18,      0.1232274421,      -2.661360211,      0.2358234005,     0.07486094296,      0.0565484628,      0.2358234005,     0.07486094296,    0.002220996607,    0.009498971464
          19,       0.123135285,      -2.640522505,      0.2301711081,     0.07502854324,     0.05644575498,      0.2301711081,     0.07502854324,    0.002220996607,    0.009744540614
          20,      0.1229999905,      -2.611279346,      0.2245096681,      0.0754049208,     0.05635917389,      0.2245096681,      0.0754049208,    0.002220996607,     0.00999670971
          21,      0.1229003091,      -2.578024142,      0.2187345711,     0.07604237204,     0.05630373395,      0.2187345711,     0.07604237204,    0.002220996607,     0.01026073277
          22,      0.1228686435,      -2.544670349,      0.2127619465,     0.07700272972,     0.05629115416,      0.2127619465,     0.07700272972,    0.002220996607,     0.01054145141
          23,      0.1228235792,      -2.513161706,      0.2065320012,     0.07835131018,     0.05632894389,      0.2065320012,     0.07835131018,    0.002220996607,     0.01084309693
          24,       0.122733764,      -2.484608907,       0.200008491,      0.0801561383,     0.05642205945,       0.200008491,      0.0801561383,    0.002220996607,      0.0111692586
          25,      0.1226519462,      -2.459245594,      0.1931801359,     0.08247868528,     0.05657222315,      0.1931801359,     0.08247868528,    0.002220996607,     0.01152272947
          26,      0.1225431667,      -2.437173339,       0.186056235,     0.08537309932,     0.05677923536,       0.186056235,     0.08537309932,    0.002456341871,     0.01190561913
          27,      0.1224286357,      -2.418526356,      0.1786703954,      0.0888751577,     0.05704231052,      0.1786703954,      0.0888751577,    0.002456341871,     0.01231899705
          28,      0.1223073586,      -2.403145577,      0.1710728619,       0.093000247,     0.05736197596,      0.1710728619,       0.093000247,    0.002456341871,     0.01276310802
          29,      0.1221972333,      -2.390612085,      0.1633299294,     0.09774250594,     0.05774114747,      0.1633299294,     0.09774250594,     0.00294190392,     0.01323717499
          30,      0.1221469032,      -2.380335605,       0.155522028,      0.1030703341,     0.05818492684,       0.155522028,      0.1030703341,     0.00294190392,     0.01373921972
          31,       0.122140875,      -2.371705667,      0.1477369546,      0.1089281508,     0.05870040745,      0.1477369546,      0.1089281508,     0.00294190392,     0.01426617477
          32,      0.1220533515,      -2.364319631,      0.1400677495,      0.1152352728,     0.05929689388,      0.1400677495,      0.1152352728,     0.00294190392,     0.01481371017
          33,      0.1220235412,      -2.357978241,      0.1326075999,      0.1218868562,     0.05998319952,      0.1326075999,      0.1218868562,     0.00294190392,     0.01537628347
          34,      0.1220540914,      -2.352513456,      0.1254488822,      0.1287580131,     0.06076639511,      0.1254488822,      0.1287580131,     0.00294190392,     0.01594693166
          35,      0.1220246833,      -2.347775025,      0.1186757658,      0.1357009859,     0.06165089741,      0.1186757658,      0.1357009859,     0.00294190392,     0.01651765613
          36,      0.1219039838,      -2.343603237,      0.1123583482,      0.1425574446,     0.06263584538,      0.1123583482,      0.1425574446,     0.00294190392,     0.01707991232
          37,      0.1218764368,      -2.339848614,      0.1065503612,      0.1491645417,       0.063713801,      0.1065503612,      0.1491645417,     0.00294190392,     0.01762500544
          38,      0.1218411077,      -2.336383026,      0.1012902363,      0.1553658695,      0.0648714068,      0.1012902363,      0.1553658695,     0.00294190392,     0.01814431758
          39,        0.12183129,        -2.3331367,     0.09660135015,      0.1610195059,     0.06609168348,     0.09660135015,      0.1610195059,     0.00294190392,      0.0186132062
          40,      0.1217826439,      -2.330082389,      0.0924920393,      0.1660005903,     0.06735417971,      0.0924920393,      0.1660005903,     0.00294190392,     0.01902413728
          41,       0.121747519,      -2.327197684,     0.08895540987,       0.170211044,     0.06863696236,     0.08895540987,       0.170211044,     0.00294190392,     0.01937780023
          42,      0.1218099605,      -2.324471253,     0.08597056398,      0.1735815248,     0.06991811487,     0.08597056398,      0.1735815248,     0.00294190392,     0.01967628482
          43,      0.1217486341,      -2.321896097,     0.08350427562,      0.1760751326,     0.07117753444,     0.08350427562,      0.1760751326,     0.00294190392,     0.01992291365
          44,      0.1216624267,      -2.319499201,     0.08151364006,      0.1776891349,     0.07239874123,     0.08151364006,      0.1776891349,     0.00294190392,     0.02012197721
          45,      0.1216228457,      -2.317310045,     0.07995156089,      0.1784545047,      0.0735698553,     0.07995156089,      0.1784545047,     0.00294190392,     0.02027818512
          46,      0.1215774702,      -2.315381632,     0.07877110649,      0.1784318576,     0.07468322446,     0.07877110649,      0.1784318576,     0.00294190392,     0.02039623056
          47,      0.1215692417,      -2.313750525,     0.07792858457,      0.1777037475,     0.07573316629,     0.07792858457,      0.1777037475,     0.00294190392,     0.02048048276
          48,       0.121536998,      -2.312449727,     0.07738322591,       0.176369565,     0.07671589088,     0.07738322591,       0.176369565,     0.00294190392,     0.02053501862
          49,       0.121537286,      -2.311491784,     0.07709907707,       0.174536668,     0.07762570542,     0.07709907707,       0.174536668,     0.00294190392,     0.02056343351
          50,      0.1215242039,      -2.310852169,     0.07704181795,      0.1723065541,     0.07844827068,     0.07704181795,      0.1723065541,     0.00294190392,     0.02056915942
