"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      ,       "CFx"      ,       "CFy"      ,     "Buffet"     ,   "Cauchy[CD]"   
           0,         0.1943205,      -1.609834073,      0.6686510803,      0.1490656674,     0.05007914031,      0.6686510803,      0.1490656674,    0.001843334728,                 1
           1,         0.1915174,      -1.787712005,      0.6309008929,      0.2690106447,      0.0680835492,      0.6309008929,      0.2690106447,    0.001843334728,   0.0005983536855
           2,      0.1669761667,      -1.885631107,      0.6746039548,      0.3912905478,     0.08228364219,      0.6746039548,      0.3912905478,    0.001843334728,    0.001246186561
           3,       0.154969125,      -2.038569349,      0.6513767623,       0.376223405,     0.07739638539,      0.6513767623,       0.376223405,    0.001843334728,      0.0016027727
           4,         0.1476437,      -2.079477029,      0.5886957267,      0.3530160198,     0.07111603332,      0.5886957267,      0.3530160198,    0.001843334728,    0.002667516893
           5,        0.14338885,      -2.081528274,      0.5375323735,      0.3404891194,     0.06732421912,      0.5375323735,      0.3404891194,    0.001843334728,    0.003619335905
           6,      0.1401396286,      -2.112831736,      0.5033800168,      0.3349420113,     0.06565951426,      0.5033800168,      0.3349420113,    0.001843334728,     0.00429779662
           7,      0.1374715125,      -2.160568111,      0.4771427705,      0.3329912722,     0.06492550736,      0.4771427705,      0.3329912722,    0.001843334728,    0.004847679128
           8,      0.1355483333,      -2.222968898,      0.4555842678,       0.333036354,     0.06446264414,      0.4555842678,       0.333036354,    0.001843334728,    0.005320884728
           9,        0.13387155,      -2.285594006,      0.4379402203,      0.3340279237,     0.06408090236,      0.4379402203,      0.3340279237,    0.001843334728,    0.005723771849
          10,      0.1324664909,        -2.3366072,      0.4235281557,      0.3352324043,     0.06376753213,      0.4235281557,      0.3352324043,    0.001843334728,    0.006064057719
          11,      0.1316486583,      -2.368634209,      0.4116048608,      0.3363652303,     0.06352272608,      0.4116048608,      0.3363652303,    0.001843334728,    0.006353735904
          12,      0.1306438692,      -2.385526787,      0.4015473558,      0.3374253322,     0.06332838032,      0.4015473558,      0.3374253322,    0.001843334728,    0.006604204617
          13,      0.1298081929,      -2.393055205,      0.3928784873,      0.3384464021,     0.06316318499,      0.3928784873,      0.3384464021,    0.001843334728,    0.006824854736
          14,      0.1290545733,       -2.39645793,      0.3852368604,      0.3394202507,     0.06300992011,      0.3852368604,      0.3394202507,    0.001843334728,    0.007023216517
          15,      0.1285944375,      -2.397244592,      0.3783523647,      0.3403027417,     0.06285884814,      0.3783523647,      0.3403027417,    0.001843334728,    0.007205176413
          16,      0.1282676882,       -2.39664161,      0.3720198232,      0.3410530044,     0.06270355995,      0.3720198232,      0.3410530044,    0.001843334728,    0.007375396952
          17,        0.12799115,      -2.394953171,      0.3660676032,      0.3416422243,     0.06253720795,      0.3660676032,      0.3416422243,    0.001843334728,    0.007537995879
          18,      0.1276221579,      -2.391226662,      0.3603277412,      0.3420526067,     0.06234899488,      0.3603277412,      0.3420526067,    0.001843334728,     0.00769729147
          19,       0.127320095,      -2.383714564,      0.3546275324,      0.3422658549,     0.06212307167,      0.3546275324,      0.3422658549,    0.001843334728,    0.007858029379
          20,      0.1268780952,      -2.372909668,       0.348785899,      0.3422592343,     0.06183776571,       0.348785899,      0.3422592343,    0.001843334728,    0.008025514171
          21,      0.1265992136,      -2.359182447,      0.3426258453,      0.3420058746,     0.06146676086,      0.3426258453,      0.3420058746,    0.001843334728,    0.008205303694
          22,      0.1263533261,       -2.34237175,      0.3359803908,      0.3414739511,     0.06098065271,      0.3359803908,      0.3414739511,    0.001843334728,    0.008403096622
          23,      0.1261685792,      -2.323557513,      0.3287076587,      0.3406283625,     0.06034905547,      0.3287076587,      0.3406283625,    0.001843334728,    0.008624348906
          24,       0.125994188,      -2.304347606,      0.3207024068,      0.3394349884,      0.0595416891,      0.3207024068,      0.3394349884,    0.001843334728,    0.008873965117
          25,      0.1257644731,        -2.2857343,      0.3119020877,      0.3378627863,     0.05853080531,      0.3119020877,      0.3378627863,    0.001843334728,    0.009156115171
          26,      0.1255651593,      -2.268564803,      0.3022984783,      0.3358839459,     0.05729512056,      0.3022984783,      0.3358839459,    0.001843334728,    0.009473801498
          27,      0.1254349321,      -2.252967699,      0.2919290169,      0.3334806886,     0.05582138669,      0.2919290169,      0.3334806886,    0.001843334728,    0.009829006389
          28,      0.1251726379,      -2.238832176,      0.2808752368,      0.3306405705,     0.05410440892,      0.2808752368,      0.3306405705,    0.001843334728,     0.01022255408
          29,      0.1250654967,      -2.226063317,      0.2692444288,      0.3273564308,     0.05214656029,      0.2692444288,      0.3273564308,    0.001843334728,      0.0106545336
