"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      ,       "CFx"      ,       "CFy"      ,     "Buffet"     ,   "Cauchy[CD]"   
           0,         0.1137503,      -1.914304296,      0.6780740564,    -0.04014934956,   -0.003122532417,      0.6780740564,    -0.04014934956,   0.0005008452133,                 1
           1,         0.1205515,       -2.08388338,      0.5766146504,    -0.07743630904,   -0.001366889442,      0.5766146504,    -0.07743630904,   0.0005008452133,    0.001759570381
           2,         0.1215634,      -2.124724638,      0.5509983752,     -0.1028554916,   -0.001923006148,      0.5509983752,     -0.1028554916,   0.0005008452133,    0.002224476928
           3,        0.12064705,      -2.246961426,      0.5050311058,    -0.09709200833,   -0.003280988825,      0.5050311058,    -0.09709200833,   0.0005008452133,    0.003134663823
           4,        0.12058358,      -2.310492382,      0.4469323909,    -0.08984181624,   -0.004824900336,      0.4469323909,    -0.08984181624,   0.0004760850817,    0.004434607978
           5,      0.1203693333,      -2.329516272,       0.398034973,    -0.08760075387,   -0.005441399319,       0.398034973,    -0.08760075387,   0.0004760850817,    0.005663078367
           6,      0.1208459429,      -2.365132628,      0.3622407464,    -0.08827215286,   -0.005502077205,      0.3622407464,    -0.08827215286,   0.0004760850817,    0.006651212006
           7,           0.12081,      -2.411657794,       0.334472971,     -0.0898684193,   -0.005467301245,       0.334472971,     -0.0898684193,   0.0004760850817,    0.007481406904
           8,      0.1206584778,      -2.464608678,      0.3117290833,    -0.09178676841,   -0.005452844847,      0.3117290833,    -0.09178676841,   0.0004760850817,    0.008211011194
           9,        0.12401485,      -2.515411993,      0.2928640263,     -0.0937548599,   -0.005443995183,      0.2928640263,     -0.0937548599,   0.0007240563611,    0.008855168733
          10,      0.1301099182,      -2.560661089,       0.277177889,    -0.09561270801,   -0.005418717252,       0.277177889,    -0.09561270801,   0.0007240563611,    0.009421091842
          11,        0.12930915,       -2.59866407,      0.2640172126,    -0.09730744471,   -0.005371715297,      0.2640172126,    -0.09730744471,   0.0007240563611,     0.00991956981
          12,      0.1285806308,      -2.631378502,      0.2528171378,    -0.09884594701,   -0.005305563236,      0.2528171378,    -0.09884594701,   0.0007240563611,     0.01036258071
          13,      0.1280196429,      -2.660640899,      0.2431311495,       -0.10022691,   -0.005225944053,      0.2431311495,       -0.10022691,   0.0007240563611,     0.01076096604
          14,      0.1275522267,      -2.687759342,      0.2346132329,      -0.101425225,   -0.005138871878,      0.2346132329,      -0.101425225,   0.0007240563611,     0.01112402811
          15,      0.1272443875,      -2.712553528,       0.226995539,     -0.1024117058,   -0.005046761421,       0.226995539,     -0.1024117058,   0.0007240563611,     0.01145961594
          16,      0.1269434353,       -2.73335022,      0.2200673598,     -0.1031675527,    -0.00494610068,      0.2200673598,     -0.1031675527,   0.0007240563611,     0.01177443678
          17,      0.1268232667,      -2.745991437,       0.213655664,     -0.1036828447,   -0.004827975647,       0.213655664,     -0.1036828447,   0.0007240563611,      0.0120745316
          18,      0.1264190316,      -2.746346239,      0.2076091039,     -0.1039486993,   -0.004679985182,      0.2076091039,     -0.1039486993,   0.0004760850817,     0.01236577895
          19,       0.126223415,      -2.731846969,      0.2017935973,     -0.1039517058,   -0.004486772158,      0.2017935973,     -0.1039517058,   0.0004760850817,     0.01265396979
          20,      0.1259930333,      -2.704508309,      0.1960963147,      -0.103674301,   -0.004231760614,      0.1960963147,      -0.103674301,   0.0004760850817,      0.0129445047
          21,      0.1256984682,      -2.670254673,      0.1904284233,     -0.1030981009,   -0.003899078518,      0.1904284233,     -0.1030981009,   0.0004760850817,     0.01324214364
          22,      0.1253987043,       -2.63489577,      0.1847287981,     -0.1022031464,   -0.003473832801,      0.1847287981,     -0.1022031464,   0.0004760850817,      0.0135506838
          23,      0.1251810833,      -2.601920473,      0.1789585055,     -0.1009701346,   -0.002943916811,      0.1789585055,     -0.1009701346,   0.0004760850817,     0.01387312126
          24,       0.124949604,      -2.572829337,      0.1731013961,    -0.09938376034,   -0.002301471472,      0.1731013961,    -0.09938376034,   0.0004760850817,     0.01421148418
          25,      0.1247271538,      -2.547640682,      0.1671608365,    -0.09743492634,   -0.001543833845,      0.1671608365,    -0.09743492634,   0.0004760850817,     0.01456686404
          26,      0.1245482037,      -2.525989455,      0.1611546489,    -0.09511771788,  -0.0006737839131,      0.1611546489,    -0.09511771788,   0.0004760850817,     0.01493956118
          27,      0.1242961679,      -2.507595479,      0.1551115099,    -0.09243139913,   0.0003010880055,      0.1551115099,    -0.09243139913,   0.0004760850817,     0.01532916083
          28,      0.1241518483,      -2.492221344,      0.1490707105,    -0.08937744062,    0.001367532858,      0.1490707105,    -0.08937744062,   0.0004760850817,      0.0157343913
          29,        0.12399743,      -2.479491781,      0.1430742904,    -0.08596348064,     0.00250880208,      0.1430742904,    -0.08596348064,   0.0004760850817,     0.01615350364
          30,      0.1238818323,      -2.469037108,      0.1371705668,    -0.08219942564,    0.003705469437,      0.1371705668,    -0.08219942564,   0.0004760850817,     0.01658389653
          31,      0.1237856469,      -2.460439316,      0.1314176386,    -0.07810063486,    0.004937259599,      0.1314176386,    -0.07810063486,   0.0004760850817,     0.01702165574
          32,      0.1236594424,      -2.453366939,      0.1258777682,    -0.07369393708,    0.006185488733,      0.1258777682,    -0.07369393708,   0.0004760850817,     0.01746175493
